CLASIFICACION|SUBCLASIFICACION|DESCRIPCION|CODIGO INTERNO| COSTO SIN IVA | IVA | MARGEN 
REPUESTOS|FLAIR / ALPHA|BATERIA ALPHA/FLAIR 1.2 V 1600|PRO3-93154-101| 306 | 21 | 200 
REPUESTOS|GENIO   |BASTIDOR PLAS CUCH GENIO|PRO3-1450-7370| 169 | 21 | 200 
REPUESTOS|GENIO PLUS / POWER + / ARCO|BATERIA GENIO PLUS/ARCO/POWER+|PRO3-1854-7988| 785 | 21 | 200 
REPUESTOS|GROOMSMAN (USA)|RESORTE GROOMSMAN AMERICANA|PUB3-1547-0000| 23 | 21 | 200 
REPUESTOS|GROOMSMAN (USA)|SUPLEMENTO  CUCHILLA GROOMSMAN|PUB3-8907-1000| 17 | 21 | 200 
REPUESTOS|GROOMSMAN (USA)|SUPLEMENTO LEVA MOTOR GROOMS|PUB3-8910-0000| 20 | 21 | 200 
REPUESTOS|GROOMSMAN (USA)|TORNILLO CUCHILLA GROOMSMAN|PUB3-96406-000| 12 | 21 | 200 
REPUESTOS|GROOMSMAN (USA)|CARCASA INFERIOR GROOMSMAN|PUB3-9902-1004| 38 | 21 | 200 
REPUESTOS|GROOMSMAN (USA)|TAPA BATERIA GROOMSMAN|PUB3-9903-1001| 17 | 21 | 200 
REPUESTOS|GROOMSMAN (USA)|TAPA SUPERIOR GROOMSMAN|PUB3-9932-8010| 66 | 21 | 200 
REPUESTOS|GROOMSMAN (USA)|CONTACTO DELANTERO GROOMSMAN|PUB3-9941-0010| 32 | 21 | 200 
REPUESTOS|GROOMSMAN (USA)|CONTACTO BATERIA GROOMSMAN|PUB3-9942-0010| 20 | 21 | 200 
REPUESTOS|GROOMSMAN (USA)|CONTACTO TRASERO GROOMSMAN|PUB3-9943-0000| 20 | 21 | 200 
REPUESTOS|GROOMSMAN PRO|TRANSFORMADOR GROOMSMAN PRO|PUB3-9893-0001| 307 | 21 | 200 
REPUESTOS|GROOMSMAN RECARGABLE|TRANSFORMADOR GROOMSMAN REC.|PRO3-9918-6281| 432 | 21 | 200 
REPUESTOS|GROOMSMAN RECARGABLE|MOTOR GROOMSMAN RECARGABLE|PUB3-9918-0001| 257 | 21 | 200 
REPUESTOS|GROOMSMAN RECARGABLE|JGO. CARCASAS GROOMS RECARGAB.|PUB3-9918-0002| 172 | 21 | 200 
REPUESTOS|GROOMSMAN RECARGABLE|CTO. IMPRESO GROOM. RECARGABLE|PUB3-9918-0004| 121 | 21 | 200 
REPUESTOS|GROOMSMAN RECARGABLE|MOTOR,CIRCUITO,BATERIA GROO RE|PUB3-9918-0006| 592 | 21 | 200 
REPUESTOS|GROOMSMAN SPORT|TRANSFORMADOR GROOMSMAN SPORT|PUB3-9953-0001| 269 | 21 | 200 
REPUESTOS|GROOMSMAN SPORT|FUNDA DE GOMA GROOMSMAN SPORT|PUB3-9953-0002| 54 | 21 | 200 
REPUESTOS|GROOMSMAN SPORT|TAPA GROOMSMAN SPORT|PUB3-9953-0003| 26 | 21 | 200 
REPUESTOS|GROOMSMAN SPORT|CARCASA GROOMSMAN SPORT|PUB3-9953-0004| 26 | 21 | 200 
REPUESTOS|HOMECUT 16 & 20 pcs.|CARCASA HOMECUT 16 / 20 PCS.|PUB3-9243-0000| 71 | 21 | 200 
REPUESTOS|HOMECUT 16 & 20 pcs.|BOBINA HOMEC BAS, 16 Y 20|PUB3-9243-0009| 127 | 21 | 200 
REPUESTOS|HOMECUT 16 & 20 pcs.|BRAZO BOBINA HOMECUT16 Y 20|PUB3-9243-0010| 43 | 21 | 200 
REPUESTOS|HOMECUT 16 pcs.|TAPA HOMECUT 16 PCS.|PUB3-9243-0016| 80 | 21 | 200 
REPUESTOS|HOMECUT 20 pcs.|TAPA HOMECUT 20 PCS.|PUB3-9243-0020| 80 | 21 | 200 
REPUESTOS|HOMECUT BASIC|TAPA SUPERIOR HOMEPRO BASIC|PUB3-9155-0050| 70 | 21 | 200 
REPUESTOS|HOMECUT BASIC|CARCASA HOMEPRO BASIC|PUB3-9155-0090| 79 | 21 | 200 
REPUESTOS|HOMECUT BASIC|INSERTO TAPA HOMECUT BASIC|PUB3-9155-5900| 40 | 21 | 200 
REPUESTOS|KM 5|MOTOR KM 5|VET3-1250-7070| 1.536 | 21 | 200 
REPUESTOS|KM 5|CIRCUITO IMPRESO KM 5|VET3-1260-7020| 538 | 21 | 200 
REPUESTOS|KM 10|LEVA MOTOR KM10|VET3-1250-7000| 170 | 21 | 200 
REPUESTOS|KM 10|SOPORTE TRASERO KM 10|VET3-1250-7080| 78 | 21 | 200 
REPUESTOS|KM 10|BOTON TRABA CUCHILLA KM 10|VET3-1260-7010| 151 | 21 | 200 
REPUESTOS|KM 10|SOPORTE MOTOR KM 10|VET3-1261-7010| 198 | 21 | 200 
REPUESTOS|KM 10|MOTOR KM 10|VET3-1261-7020| 2.880 | 21 | 200 
REPUESTOS|KM 10|CIRCUITO IMPRESO KM 10|VET3-1261-7131| 899 | 21 | 200 
REPUESTOS|KM 10|CABLE KM 10|VET3-1261-7200| 198 | 21 | 200 
REPUESTOS|KM 10|JGO. CARCASAS KM10 TURQUESA|VET3-1261-7210| 989 | 21 | 200 
REPUESTOS|KM 10 / KM5|CABLE CON TRANSFORMADOR  KM 10|VET3-1260-7210| 1.438 | 21 | 200 
REPUESTOS|KM 10 / KM 5|TORNILLOS CARCASA KM10|VET3-1250-7020| 14 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|LEGEND|TORNILLO  BASTIDOR  DE CUCHILLA|PRO3-492-30000| 20 | 21 | 200 
REPUESTOS|LEGEND|TORNILLO TAPA|PRO3-495-2000| 24 | 21 | 200 
REPUESTOS|LEGEND|TORNILLO CUCHILLA|PRO3-508-30000| 26 | 21 | 200 
REPUESTOS|LEGEND|TORNILLO PALANCA CUCHILLA|PRO3-512-10000| 23 | 21 | 200 
REPUESTOS|LEGEND|SWITCH SUPER TAPER - W400|PRO3-8108-0010| 118 | 21 | 200 
REPUESTOS|LEGEND|CARCASA INFERIOR|PRO3-8404-1000| 281 | 21 | 200 
REPUESTOS|LEGEND|BOBINA SHUNT LEGEND, UCLIP|PRO3-8859-3300| 493 | 21 | 200 
REPUESTOS|LEGEND|TAPA LEGEND|PRO3-89605-310| 476 | 21 | 200 
REPUESTOS|LEGEND|BASTIDOR METALICO LEGEND|PRO3-9214-6000| 46 | 21 | 200 
REPUESTOS|LEGEND|ALMOHADILLA CUCHILLA|PRO3-94104-400| 36 | 21 | 200 
REPUESTOS|LEGEND|TORNILLO SWITCH|PUB3-491-00100| 17 | 21 | 200 
REPUESTOS|LEGEND|TORNILLO DE BOBINA|PUB3-503-00000| 20 | 21 | 200 
REPUESTOS|LEGEND|TORNILLO DE REGULACION COMPLE|PUB3-8117-8115| 26 | 21 | 200 
REPUESTOS|LEGEND|TORNILLO INTERNO DE REGULACIÓN|VET3-1177-2000| 30 | 21 | 200 
REPUESTOS|LEGEND|RESORT BOBINA |VET3-1177-3000| 28 | 21 | 200 
REPUESTOS|LEGEND|TORNILLO BRAZO BOBINA|VET3-1567-2010| 28 | 21 | 200 
REPUESTOS|LEGEND|PALANCA CUCHILLA|VET3-8227-1001| 73 | 21 | 200 
REPUESTOS|LEGEND|BASTIDOR PLASTICO|VET3-8409-2701| 28 | 21 | 200 
REPUESTOS|LEGEND / MAGIC CLIP|BRAZO SHUNT|PRO3-8505-2010| 330 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|MAGIC CLIP|TORNILLO  BASTIDOR  DE CUCHILLA|PRO3-492-30000| 20 | 21 | 200 
REPUESTOS|MAGIC CLIP|TORNILLO TAPA|PRO3-495-2000| 24 | 21 | 200 
REPUESTOS|MAGIC CLIP|TORNILLO CUCHILLA|PRO3-508-30000| 26 | 21 | 200 
REPUESTOS|MAGIC CLIP|TORNILLO PALANCA CUCHILLA|PRO3-512-10000| 23 | 21 | 200 
REPUESTOS|MAGIC CLIP|SWITCH SUPER TAPER - W400|PRO3-8108-0010| 118 | 21 | 200 
REPUESTOS|MAGIC CLIP|CARCASA INFERIOR|PRO3-8404-1000| 281 | 21 | 200 
REPUESTOS|MAGIC CLIP|BOBINA SHUNT |PRO3-8424-0000| 418 | 21 | 200 
REPUESTOS|MAGIC CLIP|TAPA MAGIC CLIP C/CABLE|PRO3-9122-1181K| 432 | 21 | 200 
REPUESTOS|MAGIC CLIP|BASTIDOR METALICO|PRO3-9214-400K| 20 | 21 | 200 
REPUESTOS|MAGIC CLIP|ALMOHADILLA CUCHILLA|PRO3-94104-400| 36 | 21 | 200 
REPUESTOS|MAGIC CLIP|TORNILLO SWITCH|PUB3-491-00100| 17 | 21 | 200 
REPUESTOS|MAGIC CLIP|TORNILLO DE BOBINA|PUB3-503-00000| 20 | 21 | 200 
REPUESTOS|MAGIC CLIP|TORNILLO DE REGULACION COMPLE|PUB3-8117-8115| 26 | 21 | 200 
REPUESTOS|MAGIC CLIP|RESORT BOBINA |VET3-1177-3000| 28 | 21 | 200 
REPUESTOS|MAGIC CLIP|TORNILLO BRAZO BOBINA|VET3-1567-2010| 28 | 21 | 200 
REPUESTOS|MAGIC CLIP|PALANCA CUCHILLA|VET3-8227-1001| 73 | 21 | 200 
REPUESTOS|MAGIC CLIP|BASTIDOR PLASTICO|VET3-8409-2701| 28 | 21 | 200 
REPUESTOS|MAGIC CLIP / FINALE / SENIOR|TRANSFORMADOR|PRO3-97225-002| 1.195 | 21 | 200 
REPUESTOS|MAGIC CLIP / LEGEND|BRAZO SHUNT|PRO3-8505-2010| 330 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|CUBIERTA SUP. MOTOR M.CLIP|PRO3-8844-0000| 48 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|MOTOR MAGIC CLIP C/C  SIN LEVA|PRO3-95368-300| 624 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|TORNILLO TAPA MAGIC CLIP C/C|PRO3-495-6000| 19 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|PALANCA CUCHI. M.CLIP C/C|PRO3-8225-0000| 36 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|LED DE CARGA M.CLIP C/C|PRO3-8651-2000| 26 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|MOTOR MAGIC CLIP C/C|PRO3-8723-100R| 583 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|CARCASA MAGIC CLIP C/C|PRO3-8835-2001| 296 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|GUIA LEVA MAGIC CLIP C/C|PRO3-8846-0000| 71 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|GUIA PLAST CUCH. SENIOR  C/C|PRO3-8846-1000| 71 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|GUIA CUCHI. MAGIC CLIP C/C|PRO3-8848-0000| 32 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|CUBIERTA SUP. MOTOR M.CLIP C/C|PRO3-8851-0000| 71 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|TAPA BORDEAUX M.CLIP C/C|PRO3-8861-1610| 216 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|INSERTO TAPA  M.CLIP C/C|PRO3-8862-1710| 220 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|BASTIDOR METALICO|PRO3-9214-400K| 20 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|BATERIA BERETTO/MAGIC/SENIOR|PRO3-93837-000| 737 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|TOR. PALANCA CUCHI. M.CLIP C/C|PRO3-96292-000| 35 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE|RESORTE GUIA CUCH. M.CLIP C/C|PRO3-96833-000| 109 | 21 | 200 
REPUESTOS|MAGIC CLIP RECARGABLE / SENIOR|CIRCUITO IMPRESO SENIOR C/C|PRO3-90302-001| 674 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|MAX 45|SOPORTE TRASERO MAX 45 (7915)|VET3-1245-1040| 66 | 21 | 200 
REPUESTOS|MAX 45|TAPA SUPERIOR MAX 45|VET3-1245-7000| 245 | 21 | 200 
REPUESTOS|MAX 45|CARCASA INFERIOR MAX 45|VET3-1245-7010| 420 | 21 | 200 
REPUESTOS|MAX 45|TRABA CUCHILLA MAX 45|VET3-1245-7020| 66 | 21 | 200 
REPUESTOS|MAX 45|SUJETA CUCHILLA MAX 45|VET3-1245-7030| 263 | 21 | 200 
REPUESTOS|MAX 45|LEVA MOTOR MAX 45 -BLANCAS|VET3-1245-7040| 86 | 21 | 200 
REPUESTOS|MAX 45|ENGRANAJE MAX 45|VET3-1245-7050| 460 | 21 | 200 
REPUESTOS|MAX 45|CIRCUITO IMPRESO MAX 45|VET3-1245-7070| 815 | 21 | 200 
REPUESTOS|MAX 45|MOTOR MAX 45 (1245-7060)|VET3-1245-7160| 983 | 21 | 200 
REPUESTOS|MAX 45|SWITCH MAX 45|VET3-1245-7220| 116 | 21 | 200 
REPUESTOS|MAX 45|ARANDELA MAX 45|VET3-1245-7430| 38 | 21 | 200 
REPUESTOS|MAX 45|GUIA Y RESORTE DE CUCHILLA|VET3-1245-7680| 402 | 21 | 200 
REPUESTOS|MAX 45|FILTRO TRASERO MAX 45|VET3-1245-7905| 100 | 21 | 200 
REPUESTOS|MAX 45|CABLE MAX 45|VET3-1245-7970| 366 | 21 | 200 
REPUESTOS|MAX 45|TORNILLOS DEL CABLE - MAX 45|VET3-1247-7940| 17 | 21 | 200 
REPUESTOS|MAX 45|TORNILLOS CARCASA  MAX 45|VET3-1247-7945| 17 | 21 | 200 
REPUESTOS|MAX 45|CAPUCHON LEVA MAX 45|VET3-1291-7050| 17 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|MEN´S METHOD|TAPA MEN´S METHOD|PRO3-9122-3901| 450 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|MOSER 1225|PLACA SUJETA CUCHILLA M.1225|VET3-1221-7080| 322 | 21 | 200 
REPUESTOS|MOSER 1225|SWITCH MOSER 1225|VET3-1221-7350| 180 | 21 | 200 
REPUESTOS|MOSER 1225|SUJETA CUCHILLA MOSER 1225|VET3-1225-7040| 118 | 21 | 200 
REPUESTOS|MOSER 1225|LEVA MOTOR MOSER 1225|VET3-1225-7050| 143 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|MOSER 1400|ABRAZADERA CABLE MOSER 1400|PRO3-1400-7945| 19 | 21 | 200 
REPUESTOS|MOSER 1400|RESORTE Y TOR.DE REG.MOSER1400|PRO3-1403-7040| 18 | 21 | 200 
REPUESTOS|MOSER 1400|BASTIDOR METALICO MOSER 1400|PRO3-1403-7050| 85 | 21 | 200 
REPUESTOS|MOSER 1400|INSERTO - MOSER 1400|PRO3-1403-7060| 11 | 21 | 200 
REPUESTOS|MOSER 1400|BASTIDOR NEGRO - MOSER 1400|PRO3-1403-7090| 86 | 21 | 200 
REPUESTOS|MOSER 1400|CABLE MOSER 1400|PRO3-1403-7255| 212 | 21 | 200 
REPUESTOS|MOSER 1400|BOBINA MOSER 1400 (NUEVA)|PRO3-1406-7010| 493 | 21 | 200 
REPUESTOS|MOSER 1400|BRAZO DE BOBINA  MOSER 1400|PRO3-1406-7020| 226 | 21 | 200 
REPUESTOS|MOSER 1400|TORNILLO REGULACION MOSER 1400|PRO3-1406-7060| 52 | 21 | 200 
REPUESTOS|MOSER 1400|JGO. CARCASAS MOSER 1400 GRIS/|PRO3-1406-7100| 361 | 21 | 200 
REPUESTOS|MOSER 1400|SWITCH MOSER 1400|PRO3-1406-7590| 100 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|OMEGA|TAPA SUPERIOR OMEGA|PRO3-88100-101| 372 | 21 | 200 
REPUESTOS|OMEGA|CARCASA INFERIOR OMEGA|PRO3-88150-100| 198 | 21 | 200 
REPUESTOS|OMEGA|SWITCH OMEGA|PRO3-88170-000| 66 | 21 | 200 
REPUESTOS|OMEGA|GUIA DE CUCHILLA OMEGA|PRO3-88180-000| 50 | 21 | 200 
REPUESTOS|OMEGA|BASTIDOR DE CUCHILLA OMEGA|PRO3-88190-001| 50 | 21 | 200 
REPUESTOS|OMEGA|CONTACTO TRASERO DEL MOTOR|PRO3-8919-0000| 28 | 21 | 200 
REPUESTOS|OMEGA|BASE CARGADOR OMEGA|PRO3-8979-0000| 288 | 21 | 200 
REPUESTOS|OMEGA|CIRCUITO IMPRESO OMEGA|PRO3-90618-100| 460 | 21 | 200 
REPUESTOS|OMEGA|LEVA DE MOTOR OMEGA|PRO3-93176-200| 100 | 21 | 200 
REPUESTOS|OMEGA|ARANDELA DELANTERA MOTOR OMEGA|PRO3-95379-100| 12 | 21 | 200 
REPUESTOS|OMEGA|RESORTE DE TENSION DE CUCHILLA|PRO3-96494-000| 102 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|PEANUT|TORNILLO CARCASA PEANUT|PRO3-433-00000| 28 | 21 | 200 
REPUESTOS|PEANUT|TAPA PEANUT BLANCA|PRO3-88101-160| 136 | 21 | 200 
REPUESTOS|PEANUT|CARCASA PEANUT BLANCA|PRO3-88151-200| 109 | 21 | 200 
REPUESTOS|PEANUT|PLAQUETA COMPLETA PEANUT|PRO3-93594-102| 288 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|POEME|CARCASA INFERIOR POEME|PRO3-8905-2000| 94 | 21 | 200 
REPUESTOS|POEME|GUIA DE CUCHILLA POEME|PRO3-8916-0000| 46 | 21 | 200 
REPUESTOS|POEME|TAPA TRASERA POEME|PRO3-8917-0010| 54 | 21 | 200 
REPUESTOS|POEME|SWITCH POEME|PRO3-8918-2000| 38 | 21 | 200 
REPUESTOS|POEME|TAPA SUPERIOR POEME|PRO3-8929-3620| 217 | 21 | 200 
REPUESTOS|POEME|BATERIA POEME|PRO3-93156-100| 278 | 21 | 200 
REPUESTOS|POEME|LEVA DE MOTOR POEME|PRO3-93173-001| 133 | 21 | 200 
REPUESTOS|POEME|TORNILLO CUCHILLA BERET/ POEME|PRO3-96406-201| 17 | 21 | 200 
REPUESTOS|POEME|RESORTE CUCHILLA BERET/POEME|PRO3-96492-000| 109 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|QUICK CUT|BOBINA Y BRAZO QUICK CUT|PUB3-9314-0001| 192 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|RINSEABLE|TRANSFORMADOR RINSEABLE|PUB3-9639-0001| 416 | 21 | 200 
REPUESTOS|RINSEABLE|JUEGO DE CARCASAS RINSEABLE|PUB3-9639-0005| 163 | 21 | 200 
REPUESTOS|RINSEABLE|CIRCUITO,MOTOR,  BAT RINSEABLE|PUB3-9639-0006| 413 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|SENIOR / MAGIC CLIP / FINALE |TRANSFORMADOR|PRO3-97225-002| 1.195 | 21 | 200 
REPUESTOS|SENIOR C/C|ALMOHADILLA MOTOR SENIOR C/C|PRO3-30417-000| 100 | 21 | 200 
REPUESTOS|SENIOR C/C|TORNILLO CARCASA SENIOR C/C|PRO3-494-00100| 23 | 21 | 200 
REPUESTOS|SENIOR C/C|MOTOR SENIOR C/C|PRO3-8723-2701| 674 | 21 | 200 
REPUESTOS|SENIOR C/C|CUERPO INFERIOR SENIOR|PRO3-8838-1102| 1.248 | 21 | 200 
REPUESTOS|SENIOR C/C|CUBIERTA INF. MOTOR SENIOR|PRO3-8844-1000| 71 | 21 | 200 
REPUESTOS|SENIOR C/C|GUIA LEVA SENIOR C/C|PRO3-8846-1000| 71 | 21 | 200 
REPUESTOS|SENIOR C/C|TAPA SENIOR C/C|PRO3-89607-060| 450 | 21 | 200 
REPUESTOS|SENIOR C/C|BATERIA BERETTO/MAGIC/SENIOR|PRO3-93837-000| 737 | 21 | 200 
REPUESTOS|SENIOR C/C|RESORTE GUIA CUCH.MAGIC/SENIOR|PRO3-96833-000| 109 | 21 | 200 
REPUESTOS|SENIOR C/C / MAGIC CLIP CC|CIRCUITO IMPRESO SENIOR C/C|PRO3-90302-001| 674 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|SIGMA|CONTACTO DEL SWITCH SIGMA|PRO3-7329-1000| 23 | 21 | 200 
REPUESTOS|SIGMA|BASTIDOR DE CUCHILLA SIGMA|PRO3-8079-1003| 32 | 21 | 200 
REPUESTOS|SIGMA|MOTOR SIGMA CON LEVA|PRO3-8623-0000| 402 | 21 | 200 
REPUESTOS|SIGMA|TAPA SUPERIOR SIGMA|PRO3-8669-2600| 187 | 21 | 200 
REPUESTOS|SIGMA|ANILLO PLASTICO SIGMA|PRO3-8674-1000| 19 | 21 | 200 
REPUESTOS|SIGMA|CARCASA INFERIOR SIGMA|PRO3-8677-2000| 109 | 21 | 200 
REPUESTOS|SIGMA|SWITCH SIGMA|PRO3-8679-0000| 58 | 21 | 200 
REPUESTOS|SIGMA|LEVA DE MOTOR SIGMA|PRO3-93176-000| 180 | 21 | 200 
REPUESTOS|SIGMA|CIRCUITO IMPRESO SIGMA|PRO3-93594-504| 343 | 21 | 200 
REPUESTOS|SIGMA|RESORTE TENSION CUCHI. SIGMA|PRO3-96485-002| 89 | 21 | 200 
REPUESTOS|SIGMA|MOTOR SIGMA / PEANUT - SIN LEVA|PRO3-96701-000| 432 | 21 | 200 
REPUESTOS|SIGMA|TRANSFORMADOR SIGMA/DET/PEA|PRO3-97615-005| 1.031 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|STERLING|TOR BAST DE CUCHI Y CORTO STER|PRO3-492-30000| 20 | 21 | 200 
REPUESTOS|STERLING|BATERIA STERLING/ANNIVERSARY|PRO3-745-20000| 360 | 21 | 200 
REPUESTOS|STERLING|GUIA PLAST.CUC. STERLING/SIGMA|PRO3-8011-0010| 30 | 21 | 200 
REPUESTOS|STERLING|PORTA DEDO STERLING|PRO3-8038-3000| 58 | 21 | 200 
REPUESTOS|STERLING|BASTIDOR PLASTICO STERLING|PRO3-8079-1020| 38 | 21 | 200 
REPUESTOS|STERLING|BASE CARGADOR STERLING|PRO3-8082-1920| 79 | 21 | 200 
REPUESTOS|STERLING|CUERPO CARGADOR STERLING|PRO3-8091-0000| 360 | 21 | 200 
REPUESTOS|STERLING|TAPA SUPERIOR STERLING|PRO3-8093-1840| 236 | 21 | 200 
REPUESTOS|STERLING|CARCASA INFERIOR STERLING|PRO3-8094-1550| 295 | 21 | 200 
REPUESTOS|STERLING|CIRCUITO IMPR CARG. STERLING|PRO3-90591-101| 932 | 21 | 200 
REPUESTOS|STERLING|CONTACTO POSITIVO STERLING|PRO3-93791-000| 97 | 21 | 200 
REPUESTOS|STERLING|CONTACTO NEGATIVO STERLING|PRO3-93792-000| 97 | 21 | 200 
REPUESTOS|STERLING|ARANDELA CUCHILLA STERLING|PRO3-96331-000| 8 | 21 | 200 
REPUESTOS|STERLING|RESORTE TENSION CUCHI.STERLING|PRO3-96485-000| 89 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|SUPER TAPER|TOR BAST DE CUCHI Y CORTO STER|PRO3-492-30000| 20 | 21 | 200 
REPUESTOS|SUPER TAPER|TOR TAPA S TAPER/BERET/BERETTO|PRO3-495-2000| 24 | 21 | 200 
REPUESTOS|SUPER TAPER|TORNILLO PALANCA CUCH SUPER TA|PRO3-512-10000| 23 | 21 | 200 
REPUESTOS|SUPER TAPER|RESORTE BOBINA SUPER TAPER|PRO3-520-00000| 28 | 21 | 200 
REPUESTOS|SUPER TAPER|SWITCH SUPER TAPER - W400|PRO3-8108-0010| 118 | 21 | 200 
REPUESTOS|SUPER TAPER|CARCASA INF.  SUPER TAPER 8442|PRO3-8404-1000| 281 | 21 | 200 
REPUESTOS|SUPER TAPER|BOBINA SHUNT SUPER TAPER|PRO3-8424-0000| 418 | 21 | 200 
REPUESTOS|SUPER TAPER|TAPA  SUPER TAPER (89600-211)|PRO3-8432-7620| 190 | 21 | 200 
REPUESTOS|SUPER TAPER|BRAZO BOBINA S TAPER/ COLORPRO|PRO3-8505-2000| 330 | 21 | 200 
REPUESTOS|SUPER TAPER|BRAZO BOBINA SHUNT |PRO3-8505-2010| 330 | 21 | 200 
REPUESTOS|SUPER TAPER|BRAZO SHUNT SUPER TAPER|PRO3-8857K-000| 144 | 21 | 200 
REPUESTOS|SUPER TAPER|BASTIDOR MET.CUCH STAPER/W400|PRO3-9214-0000| 14 | 21 | 200 
REPUESTOS|SUPER TAPER|CABLE C/ENCH Y SUJ. C SUPER T.|PRO3-93810-001| 338 | 21 | 200 
REPUESTOS|SUPER TAPER|TORNILLO BRAZO DE BOBINA|PUB3-1567-0000| 8 | 21 | 200 
REPUESTOS|SUPER TAPER|TORNILLO SWITCH SUPER TAPER|PUB3-491-00100| 17 | 21 | 200 
REPUESTOS|SUPER TAPER|TORNILLO DE BOBINA|PUB3-503-00000| 20 | 21 | 200 
REPUESTOS|SUPER TAPER|TORNILLO DE REGULACION COMPLE|PUB3-8117-8115| 26 | 21 | 200 
REPUESTOS|SUPER TAPER|PALANCA CUC S TAPER/400/HOMECU|PUB3-8227-0000| 73 | 21 | 200 
REPUESTOS|SUPER TAPER|BASTIDOR PLASTICO|VET3-8409-2701| 28 | 21 | 200 
REPUESTOS|SUPER TAPER - DRAGON|TAPA SUPERIOR DRAGON|PRO3-89600-3780| 404 | 21 | 200 
REPUESTOS|SUPER TAPER - TATTOO|TAPA SUPERIOR TATTOO|PRO3-89600-4340| 404 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|U CLIP|TORNILLO PALANCA CUCHILLA|PRO3-512-10000| 23 | 21 | 200 
REPUESTOS|U CLIP|TORNILLO SWITCH|PUB3-491-00100| 17 | 21 | 200 
REPUESTOS|U CLIP|RESORTE DE REGULACION U CLIP|VET3-1177-2000| 30 | 21 | 200 
REPUESTOS|U CLIP|TORNILLO CARCASA  UCLIP ACTUAL|VET3-495-20000| 26 | 21 | 200 
REPUESTOS|U CLIP|TORNILLO CUCHILLA UCLIP ACTUAL|VET3-508-40000| 26 | 21 | 200 
REPUESTOS|U CLIP|CARCASA UCLIP MOD. ACTUAL|VET3-87000-333| 149 | 21 | 200 
REPUESTOS|U CLIP|BRAZO BOBINA SUPER SHUNT|VET3-8857-0000| 125 | 21 | 200 
REPUESTOS|U CLIP|BRAZO BOBINA UCLIP MOD. ACTUAL|VET3-8857-0000| 125 | 21 | 200 
REPUESTOS|U CLIP|BOBINA SHUNT UCLIP MOD. ACTUAL|VET3-8859-3300| 544 | 21 | 200 
REPUESTOS|U CLIP|TAPA AZUL UCLIP MOD. ACTUAL|VET3-9064-3000| 125 | 21 | 200 
REPUESTOS|U CLIP|TAPA NEGRA UCLIP MOD. ACTUAL|VET3-9065-3600| 109 | 21 | 200 
REPUESTOS|U CLIP|BASTIDOR DE CUCHILLA UCLIP ACT|VET3-9214-0000| 20 | 21 | 200 
REPUESTOS|U CLIP|LAMINA BOBINA U CLIP|VET3-93139-001| 28 | 21 | 200 
REPUESTOS|U CLIP|CABLE DE BOBINA UCLIP MOD. ACT|VET3-97699-2000| 38 | 21 | 200 
REPUESTOS|U CLIP (Modelo anterior)|RESORT BOBINA UCL/LEG/BAL/MCLI|VET3-1177-3000| 28 | 21 | 200 
REPUESTOS|U CLIP (Modelo anterior)|TORNILLO BRAZO BOBINA U CLIP|VET3-1567-2010| 28 | 21 | 200 
