CLASIFICACION|SUBCLASIFICACION|DESCRIPCION|CODIGO INTERNO| COSTO SIN IVA | IVA | MARGEN 
REPUESTOS|BALDING|TORNILLO BRAZO BOBINA|VET3-1567-2010| 28 | 21 | 200 
REPUESTOS|BALDING|TORNILLO CUCHILLA|VET3-508-40000| 26 | 21 | 200 
REPUESTOS|BALDING|BASTIDOR PLASTICO|VET3-8409-2701| 28 | 21 | 200 
REPUESTOS|BELLA|TORNILLO DE CARCASA BELLA|PRO3-1590-7010| 19 | 21 | 200 
REPUESTOS|BELLA|CTO C/ BAT PIN NUEVO BELLA/MIN|PRO3-1590-7280| 446 | 21 | 200 
REPUESTOS|BELLA|BASE CARGADOR S/TRAFO NUEVO|PRO3-1590-7430| 283 | 21 | 200 
REPUESTOS|BELLA|CTO IMP C/BAT BELLA/CHR NUEVO|PRO3-1590-7490| 368 | 21 | 200 
REPUESTOS|BELLA|JGO. CARCASAS BELLA ROJA|PRO3-1590-7720| 785 | 21 | 200 
REPUESTOS|BELLA / CHROMINI|TRABA CUCHI IZQ. CHROMINI|PRO3-1565-1031| 14 | 21 | 200 
REPUESTOS|BELLA / CHROMINI|TRABA CUCH. DER CHROMINI|PRO3-1565-1041| 14 | 21 | 200 
REPUESTOS|BELLA / CHROMINI|MOTOR BELLA/CHROMINI|PRO3-1590-7020| 427 | 21 | 200 
REPUESTOS|BELLA / CHROMINI|BATERIA CHROMINI / BELLA/GENIO|PRO3-1590-7040| 349 | 21 | 200 
REPUESTOS|BELLA / CHROMINI|LEVA MOTOR BELLA / CHROMINI|PRO3-1590-7500| 48 | 21 | 200 
REPUESTOS|BELLA / CHROMINI|TRANSFORMADOR UNIVERSAL|PRO3-1881-1671| 688 | 21 | 200 
REPUESTOS|BELLINA|TORNILLOS CARCAZA BELLISSIMA|PRO3-1565-7270| 17 | 21 | 200 
REPUESTOS|BELLINA|MOTOR BELLINA LITHIUM|PRO3-1870-7020| 360 | 21 | 200 
REPUESTOS|BELLINA|MOTOR BELLINA|PRO3-1870-7110| 576 | 21 | 200 
REPUESTOS|BELLINA|BATERIA BELLINA|PRO3-1870-7130| 886 | 21 | 200 
REPUESTOS|BELLINA|CONTACTOS DE BELLINA|PRO3-1870-7160| 137 | 21 | 200 
REPUESTOS|BELLINA|CTO. IMP. C/ BAT BELLIS. NUEVO|PRO3-1870-7460| 1.840 | 21 | 200 
REPUESTOS|BELLINA|BASE CARGADOR BELLISSIMA NUEVA|PRO3-1870-7620| 470 | 21 | 200 
REPUESTOS|BELLINA|JGO. CARCASAS BELLINA  ROJA|PRO3-1870-7800| 1.618 | 21 | 200 
REPUESTOS|BELLINA|CTO. IMPRESO LITHIUM BELLINA|PRO3-1870-7880| 1.529 | 21 | 200 
REPUESTOS|BELLINA|BATERIA LITHIUM BELLINA|PRO3-1870-7900| 785 | 21 | 200 
REPUESTOS|BELLINA / CHROMSTYLE|RESORTE TENSION CUCHILLA |PRO3-1854-1270| 143 | 21 | 200 
REPUESTOS|BELLINA / CHROMSTYLE|BASTIDOR PLAS CUCH-CHRO/ BELLI|PRO3-1854-1387| 121 | 21 | 200 
REPUESTOS|BELLINA / CHROMSTYLE|LEVA MOTOR BELLISSIMA/CHROMSTY|PRO3-1854-5121| 94 | 21 | 200 
REPUESTOS|BELLINA / CHROMSTYLE|TRABA CUCHI.DER CHROMSTYL|PRO3-1871-1031| 14 | 21 | 200 
REPUESTOS|BELLINA / CHROMSTYLE|TRABA CUCHI.IZQ CHROMSTY|PRO3-1871-1041| 14 | 21 | 200 
REPUESTOS|BELLINA / CHROMSTYLE|TRANSFORMADOR UNIVERSAL|PRO3-1881-1671| 688 | 21 | 200 
REPUESTOS|BELLISSIMA|JUEGO DE CARCAZAS BELLISSIMA|PRO3-1870-7300| 983 | 21 | 200 
REPUESTOS|BERET|TORNILLO CARGADOR BERETTO|PRO3-465-00000| 17 | 21 | 200 
REPUESTOS|BERET|TOR.BDE CUCH.COLORP/CARC BERET|PRO3-492-20000| 23 | 21 | 200 
REPUESTOS|BERET|BASTIDOR CUCHILLA BERET|PRO3-8054-0020| 38 | 21 | 200 
REPUESTOS|BERET|CARCASA CUNA CARGADOR BERET|PRO3-8544-2010| 280 | 21 | 200 
REPUESTOS|BERET|SWITCH BERET|PRO3-8705-0030| 32 | 21 | 200 
REPUESTOS|BERET|MOTOR BERET|PRO3-8723-1301| 540 | 21 | 200 
REPUESTOS|BERET|CONTACTOS TRASEROS BERET|PRO3-8724-0000| 38 | 21 | 200 
REPUESTOS|BERET|GUIA DE CUCHILLA BERET|PRO3-8734-0010| 35 | 21 | 200 
REPUESTOS|BERET|MONTURA TRASERA MOTOR BERET|PRO3-8736-1000| 38 | 21 | 200 
REPUESTOS|BERET|TAPA BERET|PRO3-8821-3630| 480 | 21 | 200 
REPUESTOS|BERET|CARCASA BERET|PRO3-8828-1551| 443 | 21 | 200 
REPUESTOS|BERET|INSERTO TAPA BERET|PRO3-8829-5020| 35 | 21 | 200 
REPUESTOS|BERET|SOPORTE CIRCUITO IMPRESO BERET|PRO3-8936-0000| 54 | 21 | 200 
REPUESTOS|BERET|BASE CARGADOR COMPLETO BERET|PRO3-8973-1801| 443 | 21 | 200 
